clickstream_id,session_id,customer_id,customer_segment,campaign_id,campaign_group,device_type,referrer,location,timestamp,event_order,event_type,page,scroll_depth,product_id,name,category,price,stock,discount_applied,bounce_flag,cart_size
0d47641a-54a0-459d-80cf-46a1235684d5_0,0d47641a-54a0-459d-80cf-46a1235684d5,CUST092,New Customers,,non-campaign,Mobile,google.com,Choa Chu Kang,2024-02-09 19:15:30,1,Search View,/search?q=Storage+Boxes,40.0,,,,,,,0,1
0d47641a-54a0-459d-80cf-46a1235684d5_1,0d47641a-54a0-459d-80cf-46a1235684d5,CUST092,New Customers,,non-campaign,Mobile,google.com,Choa Chu Kang,2024-02-09 19:15:42,2,Product View,/product/PROD004,11.0,PROD004,Premium Tefal Storage Boxes,"['Home & Living (Kitchenware, Storage, Bedding)']",93.28,OUT OF STOCK,0.0,0,1
0d47641a-54a0-459d-80cf-46a1235684d5_2,0d47641a-54a0-459d-80cf-46a1235684d5,CUST092,New Customers,,non-campaign,Mobile,google.com,Choa Chu Kang,2024-02-09 19:16:17,3,Search View,/search?q=Soap+Refills,30.0,,,,,,,0,1
0d47641a-54a0-459d-80cf-46a1235684d5_3,0d47641a-54a0-459d-80cf-46a1235684d5,CUST092,New Customers,,non-campaign,Mobile,google.com,Choa Chu Kang,2024-02-09 19:16:32,4,Category View,/category/dairy-&-eggs,40.0,,,Dairy & Eggs,,,,0,1
0d47641a-54a0-459d-80cf-46a1235684d5_4,0d47641a-54a0-459d-80cf-46a1235684d5,CUST092,New Customers,,non-campaign,Mobile,google.com,Choa Chu Kang,2024-02-09 19:16:44,5,Product View,/product/PROD053,3.0,PROD053,Deluxe Nestlé Cream,Dairy & Eggs,87.02,in stock,0.0,0,1
6ac764ad-1fb9-460b-9bac-09349187b7eb_0,6ac764ad-1fb9-460b-9bac-09349187b7eb,CUST092,New Customers,,non-campaign,Mobile,facebook.com,Choa Chu Kang,2024-10-31 11:15:31,1,Product View,/product/PROD053,90.0,PROD053,Deluxe Nestlé Cream,Dairy & Eggs,87.02,in stock,0.0,0,1
6ac764ad-1fb9-460b-9bac-09349187b7eb_1,6ac764ad-1fb9-460b-9bac-09349187b7eb,CUST092,New Customers,,non-campaign,Mobile,facebook.com,Choa Chu Kang,2024-10-31 11:16:34,2,Home View,/home,90.0,,,,,,,0,1
6ac764ad-1fb9-460b-9bac-09349187b7eb_2,6ac764ad-1fb9-460b-9bac-09349187b7eb,CUST092,New Customers,,non-campaign,Mobile,facebook.com,Choa Chu Kang,2024-10-31 11:16:45,3,Product View,/product/PROD074,40.0,PROD074,Extra Kellogg's Granola,Breakfast Foods,65.01,,0.0,0,1
71d281ff-4080-4f84-889f-3bd2fb4b2888_0,71d281ff-4080-4f84-889f-3bd2fb4b2888,CUST059,High Spenders,CAMP104,treatment,Mobile,google.com,Bukit Panjang,2024-12-23 20:38:33,1,Home View,/home,7.0,,,,,,,0,5
71d281ff-4080-4f84-889f-3bd2fb4b2888_1,71d281ff-4080-4f84-889f-3bd2fb4b2888,CUST059,High Spenders,CAMP104,treatment,Mobile,google.com,Bukit Panjang,2024-12-23 20:38:48,2,Cart View,/cart,,,,,,,,0,5
71d281ff-4080-4f84-889f-3bd2fb4b2888_2,71d281ff-4080-4f84-889f-3bd2fb4b2888,CUST059,High Spenders,CAMP104,treatment,Mobile,google.com,Bukit Panjang,2024-12-23 20:39:01,3,Category View,/category/cleaning-supplies,,,,Cleaning Supplies,,,,0,5
71d281ff-4080-4f84-889f-3bd2fb4b2888_3,71d281ff-4080-4f84-889f-3bd2fb4b2888,CUST059,High Spenders,CAMP104,treatment,Mobile,google.com,Bukit Panjang,2024-12-23 20:39:23,4,Product View,/product/PROD066,25.0,PROD066,Premium Ajax Bleach,Cleaning Supplies,84.99,in stock,0.0,0,5
9e66e939-820e-412b-95d3-8d845178e879_0,9e66e939-820e-412b-95d3-8d845178e879,CUST066,New Customers,CAMP091,treatment,Mobile,youtube.com,Jurong East,2024-12-31 22:47:42,1,Product View,/product/PROD084,40.0,PROD084,Extra IKEA Cookware,"Home & Living (Kitchenware, Storage, Bedding)",48.5,in stock,0.0,0,0
9e66e939-820e-412b-95d3-8d845178e879_1,9e66e939-820e-412b-95d3-8d845178e879,CUST066,New Customers,CAMP091,treatment,Mobile,youtube.com,Jurong East,2024-12-31 22:48:04,2,Category View,/category/canned-goods,25.0,,,Canned Goods,,,,0,0
9e66e939-820e-412b-95d3-8d845178e879_2,9e66e939-820e-412b-95d3-8d845178e879,CUST066,New Customers,CAMP091,treatment,Mobile,youtube.com,Jurong East,2024-12-31 22:48:13,3,Product View,/product/PROD025,30.0,PROD025,Deluxe Campbell's Soup,Canned Goods,82.11,in stock,0.0,0,0
ee6eda73-584e-48fc-8f7e-2222d41c7be3_0,ee6eda73-584e-48fc-8f7e-2222d41c7be3,CUST068,Active Customers,CAMP049,treatment,Desktop,direct,Novena,2024-12-25 13:17:15,1,Home View,/home,6.0,,,,,,,0,4
ee6eda73-584e-48fc-8f7e-2222d41c7be3_1,ee6eda73-584e-48fc-8f7e-2222d41c7be3,CUST068,Active Customers,CAMP049,treatment,Desktop,direct,Novena,2024-12-25 13:17:33,2,Category View,/category/health-&-beauty,30.0,,,Health & Beauty,,,,0,4
ee6eda73-584e-48fc-8f7e-2222d41c7be3_2,ee6eda73-584e-48fc-8f7e-2222d41c7be3,CUST068,Active Customers,CAMP049,treatment,Desktop,direct,Novena,2024-12-25 13:17:41,3,Search View,/search?q=Pringles,60.0,,,,,,,0,4
ee6eda73-584e-48fc-8f7e-2222d41c7be3_3,ee6eda73-584e-48fc-8f7e-2222d41c7be3,CUST068,Active Customers,CAMP049,treatment,Desktop,direct,Novena,2024-12-25 13:18:15,4,Category View,/category/breakfast-foods,40.0,,,Breakfast Foods,,,,0,4
ee6eda73-584e-48fc-8f7e-2222d41c7be3_4,ee6eda73-584e-48fc-8f7e-2222d41c7be3,CUST068,Active Customers,CAMP049,treatment,Desktop,direct,Novena,2024-12-25 13:18:25,5,Product View,/product/PROD088,50.0,PROD088,Classic Kellogg's Cereal,Breakfast Foods,21.77,in stock,0.0,0,4
ee6eda73-584e-48fc-8f7e-2222d41c7be3_5,ee6eda73-584e-48fc-8f7e-2222d41c7be3,CUST068,Active Customers,CAMP049,treatment,Desktop,direct,Novena,2024-12-25 13:19:00,6,Add to Cart,/add_to_cart/PROD088,,PROD088,Classic Kellogg's Cereal,,21.77,in stock,0.0,0,5
